"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Prescription","Prescription","","","",0,*,"","","","null {[]} {[]}
","A - Prescription","Prescription. Several Sections of the eHN guideline.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Prescription.prescriber.signature","Prescription.prescriber.signature","","","",0,*,"","","","Signature {[]} {[]}
","A.1.3.6 Signature","Digital signature or token as proof of the authenticity of the prescriber.","","","","","","","","","",,,,,"",,,,"Prescription.prescriber.signature",0,*,"",""
"Prescription.prescriber.identifier","Prescription.prescriber.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","A.1.3.7  Health care provider identifier","A unique number or code issued for the purpose of identifying a health care provider [ISO/TS 27527:2010]; this may be a licence or registration number which can be used to trace the prescriber and to check whether a medicinal product was prescribed by the right person according to the law of the prescribing country.","","","","","","","","","",,,,,"",,,,"Prescription.prescriber.identifier",0,*,"",""
"Prescription.product","Prescription.product","","","",0,1,"","","","http://hl7.eu/fhir/mpd/StructureDefinition/MedicinalProduct {[]} {[]}
","A1.4 Identification of the prescribed product","Identification of the prescribed product","","","","","","","","","",,,,,"",,,,"Prescription.product",0,1,"",""
"Prescription.details","Prescription.details","","","",0,1,"","","","Base {[]} {[]}
","A.1.5 Prescription information","Prescription information","","","","","","","","","",,,,,"",,,,"Prescription.details",0,1,"",""
"Prescription.details.quantity","Prescription.details.quantity","","","",0,*,"","","","Quantity {[]} {[]}
","A.1.5.2 Quantity of prescribed product","Total quantity or volume of the medicinal product that is prescribed to the specific patient. It can be provided as number of packages, given that the pack size is sufficiently described, or it can be the overall amount in appropriate units of measure (UCUM) or units of presentation (EDQM) (ml, g, tablets, vials).
Depending on national legislation, this quantity may or may not be dispensed in one dispensation.","","","","","","","","","",,"preferred","UCUM, EDQM","","",,,,"Prescription.details.quantity",0,*,"",""
"Prescription.details.doseRegimen","Prescription.details.doseRegimen","","","",0,*,"","","","Base {[]} {[]}
","A.1.5.3 Dose regimen","The regimen governing the dose quantity per single administration, the dose frequency, and/or speed of administration (in the event of intravenous administration).
Note: this information may be used by the dispenser to calculate the quantity to be dispensed.","","","","","","","","","",,,,,"",,,,"Prescription.details.doseRegimen",0,*,"",""
"Prescription.details.doseRegimen.unitsPerIntake","Prescription.details.doseRegimen.unitsPerIntake","","","",0,*,"","","","Quantity {[]} {[]}
","A.1.5.3.1 Number of units per intake","The number of units per intake that the patient is taking. 
Example: 1 tablet","","","","","","","","","",,"preferred","UCUM, EDQM","","",,,,"Prescription.details.doseRegimen.unitsPerIntake",0,*,"",""
"Prescription.details.doseRegimen.frequencyOfIntakes","Prescription.details.doseRegimen.frequencyOfIntakes","","","",0,*,"","","","Base {[]} {[]}
","A.1.5.3.2 Frequency of intakes","Frequency of intakes per hour/day/week/month. 
Example: every 24 hours. Preferred codesystems UCUM, HL7 TimingEvent","","","","","","","","","",,,,,"",,,,"Prescription.details.doseRegimen.frequencyOfIntakes",0,*,"",""
"Prescription.details.route","Prescription.details.route","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A.1.5.4 Route of administration","The route of administration as prescribed. 
Example: oral intake","","","","","","","","","",,"preferred","EDQM","","",,,,"Prescription.details.route",0,*,"",""
"Prescription.details.duration","Prescription.details.duration","","","",0,*,"","","","Quantity {[]} {[]}
","A.1.5.5 Duration of treatment","The duration of the treatment as indicated by the Prescriber. Example: 14 days. 
Can be left blank for long-term therapies.","","","","","","","","","",,"preferred","UCUM","","",,,,"Prescription.details.duration",0,*,"",""
"Prescription.details.startDate","Prescription.details.startDate","","","",0,*,"","","","dateTime {[]} {[]}
","A.1.5.6 Starting date of therapy","The time and date on which it is agreed that therapy will start. 
 - Preferred system(s): ISO 8601","","","","","","","","","",,,,,"",,,,"Prescription.details.startDate",0,*,"",""
"Prescription.details.directionsOfUse","Prescription.details.directionsOfUse","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A.1.5.7 Directions for use","Information about the directions for use of the prescribed medicinal product (such as ?with food? or ?before a meal?) and any cautionary advice for correct use of the prescribed medicinal product by the patient.","","","","","","","","","",,"preferred","HL7 TimingEvent","","",,,,"Prescription.details.directionsOfUse",0,*,"",""
"Prescription.details.expiryDate","Prescription.details.expiryDate","","","",0,*,"","","","dateTime {[]} {[]}
","A.1.5.8 Prescription expiry date","This might be dependent on local or national policy or legislation, in accordance with the treatment plan or because the therapeutic need for the prescribed medicine has expired.","","","","","","","","","",,,,,"",,,,"Prescription.details.expiryDate",0,*,"",""
"Prescription.details.repeats","Prescription.details.repeats","","","",0,*,"","","","integer {[]} {[]}
","A.1.5.9 Repeats","In some countries, when medicinal products are dispensed for the first time, 
the patient may only receive medication for a short period of time. When a 
patient starts taking medication for a chronic illness, the prescriber can issue a prescription for a longer period that is now separated by repeats. In addition, the maximum quantity (A.1.4.3) of the prescribed product that may be dispensed in one dispensation may be stated here.
Decision on dispensability is made in the country of prescription.","","","","","","","","","",,,,,"",,,,"Prescription.details.repeats",0,*,"",""
"Prescription.details.reason","Prescription.details.reason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A.1.5.10 Reason for prescription","The reason why the medicine is being prescribed, including the option to mention that the medicinal product is being prescribed for ?off label? use. 
The reason for the prescription gives the dispenser the opportunity to review the prescription for medication safety issues.
Note: in some countries it is obligatory to state the reason for prescription on the prescription itself for some or all medicinal products.","","","","","","","","","",,,,,"",,,,"Prescription.details.reason",0,*,"",""
"Prescription.details.substitution","Prescription.details.substitution","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A.1.5.11 Substitution","Substitution handling can be recorded to indicate whether and to what extent substitution is allowed by the prescriber.","","","","","","","","","",,,,,"",,,,"Prescription.details.substitution",0,*,"",""
