Hl7EuMedPrescriptionDispenseIg
=========================================

Generic: line 0, col 0, Error - There is no jira specification file defined with the expected name of FHIR-eu-mpd in the xml folder of the  https://github.com/HL7/Jira-Spec-Artifacts project.  This must exist before ballot or publication. (INFORMATIONAL)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 91, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 100, col 47, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 65, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json: line 34, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json: line 60, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json: line 16, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json: line 36, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json: line 45, col 47, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 16, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 27, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 36, col 47, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 65, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json: line 41, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json: line 58, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json: line 67, col 47, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 41, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 55, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 78, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 104, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 113, col 47, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 142, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 32, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 130, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 65, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 105, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/MedicationRequest-400C-prescription-cefuroxime-singleline.json: line 22, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-Medication-eu-mpd.json: line 1, col 63847, Info - The extension http://hl7.org/fhir/StructureDefinition/elementdefinition-maxValueSet|5.2.0 is deprecated (BUSINESSRULE)
/github/workspace/fsh-generated/resources/StructureDefinition-Medication-eu-mpd.json: line 1, col 108895, Warning - Constraint failed: ext-ab-1: 'Additional Bindings SHOULD have a key to allow a binding to be constrained.' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-Medication-eu-mpd.json: line 1, col 128264, Warning - Constraint failed: ext-ab-1: 'Additional Bindings SHOULD have a key to allow a binding to be constrained.' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-MedicationDispense-eu-mpd.json: line 1, col 75570, Warning - There are multiple different potential matches for the url 'http://terminology.hl7.org/ValueSet/v3-ActPharmacySupplyType'. It might be a good idea to fix to the correct version to reduce the likelihood of a wrong version being selected by an implementation/implementer, or use the [IG Parameter `pin-canonicals`](https://hl7.org/fhir/tools/CodeSystem-ig-parameters.html). Using version '3.0.0', found versions: 2.0.0, 3.0.0. Suggested fix: change the canonical reference from 'http://terminology.hl7.org/ValueSet/v3-ActPharmacySupplyType' to 'http://terminology.hl7.org/ValueSet/v3-ActPharmacySupplyType|3.0.0' (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-MedicationDispense-eu-mpd.json: line 1, col 78060, Info - The string value contains text that looks like embedded HTML tags. If this content is rendered to HTML without appropriate post-processing, it may be a security risk (INVALID)
/github/workspace/fsh-generated/resources/StructureDefinition-MedicationRequest-eu-mpd.json: line 1, col 111320, Warning - Constraint failed: ext-ab-1: 'Additional Bindings SHOULD have a key to allow a binding to be constrained.' (INVARIANT)
/github/workspace/fsh-generated/resources/StructureDefinition-MedicationRequest-eu-mpd.json: line 1, col 216180, Warning - Constraint failed: ext-ab-1: 'Additional Bindings SHOULD have a key to allow a binding to be constrained.' (INVARIANT)

err = 3, warn = 45, info = 2
IG Publisher Version: 2.0.3
